Name;Age;Gender;City;Country
Alice;25;Female;New York;France
Bob;32;Male;San Francisco;France
Charlie;42;Male;London;France
Danielle;29;Female;Paris;France
Test;25;Male;Denmark;France
Alice;25;Female;New York;France
Bob;32;Male;San Francisco;France
Charlie;42;Male;London;France
Danielle;29;Female;Paris;France
Test;25;Male;Denmark;France
Danielle;29;Female;Paris;France
Alice;25;Female;New York;France
Bob;32;Male;San Francisco;France
Charlie;42;Male;London;France
Danielle;29;Female;Paris;France
Test;25;Male;Denmark;France
Alice;25;Female;New York;France
Bob;32;Male;San Francisco;France
Charlie;42;Male;London;France
Danielle;29;Female;Paris;France
Test;25;Male;Denmark;France
Danielle;29;Female;Paris;France
Danielle;29;Female;Paris;France
